2012-10-30 17:27:49 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-10-31 21:03:55 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-11-01 04:43:23 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-11-03 00:58:13 Notice: Notice (8): ob_clean() [<a href='ref.outcontrol'>ref.outcontrol</a>]: failed to delete buffer. No buffer to delete in [/home/fivedoll/public_html/fivedollarwork/app/controllers/components/captcha.php, line 34]
2012-11-04 12:02:27 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-11-04 23:27:01 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-11-05 12:40:40 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-11-05 21:28:32 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-11-06 05:48:20 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-11-06 15:08:54 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-11-06 15:08:54 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-11-06 15:08:54 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 534]
2012-11-06 22:45:33 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-11-07 21:00:31 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-11-07 21:00:31 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-11-07 21:00:31 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 534]
2012-11-09 21:16:09 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-11-09 21:16:09 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-11-09 21:16:09 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 534]
2012-11-10 15:51:57 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-11-10 15:51:57 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-11-10 15:51:57 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 534]
2012-11-11 22:38:18 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-11-11 23:51:52 Notice: Notice (8): Undefined index: HTTP_HOST in [/home/fivedoll/public_html/fivedollarwork/app/config/bootstrap.php, line 58]
2012-11-13 07:06:38 Notice: Notice (8): ob_clean() [<a href='ref.outcontrol'>ref.outcontrol</a>]: failed to delete buffer. No buffer to delete in [/home/fivedoll/public_html/fivedollarwork/app/controllers/components/captcha.php, line 34]
2012-11-14 02:11:52 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-11-14 02:11:52 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-11-14 02:11:52 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 534]
2012-11-14 02:11:56 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-11-14 02:11:56 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-11-14 02:11:56 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 534]
2012-11-14 02:11:57 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-11-14 02:11:57 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-11-14 02:11:57 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 534]
2012-11-14 02:12:01 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-11-14 02:12:01 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-11-14 02:12:01 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 534]
2012-11-14 02:12:02 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-11-14 02:12:02 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-11-14 02:12:02 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 534]
2012-11-14 02:12:03 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-11-14 02:12:03 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
2012-11-14 02:12:03 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 534]
2012-11-14 02:12:04 Notice: Notice (8): Undefined variable: search in [/home/fivedoll/public_html/fivedollarwork/app/controllers/gigs_controller.php, line 533]
